id_seller,id,patente,titulo,precio,kilometros,url
CL-SELLER-769,CL-AD-8625654,,2015 Hyundai SANTA FE GLS,11480000,49000,https://www.chileautos.cl/vehiculos/detalles/2015-hyundai-santa-fe-gls/CL-AD-8625654
CL-SELLER-769,CL-AD-8549353,,2016 Kia CARENS FULL EQUIPO,8680000,44100,https://www.chileautos.cl/vehiculos/detalles/2016-kia-carens-full-equipo/CL-AD-8549353
CL-SELLER-769,CL-AD-8544330,,2015 Kia CERATO AT,7290000,68000,https://www.chileautos.cl/vehiculos/detalles/2015-kia-cerato-at/CL-AD-8544330
CL-SELLER-769,CL-AD-8549367,,2017 Kia MORNING GT LINE,6490000,32000,https://www.chileautos.cl/vehiculos/detalles/2017-kia-morning-gt-line/CL-AD-8549367
CL-SELLER-769,CL-AD-8458900,,2014 Kia MORNING EX,4280000,36358,https://www.chileautos.cl/vehiculos/detalles/2014-kia-morning-ex/CL-AD-8458900
CL-SELLER-769,CL-AD-8549359,,2018 Kia OPTIMA AT,10490000,50000,https://www.chileautos.cl/vehiculos/detalles/2018-kia-optima-at/CL-AD-8549359
CL-SELLER-769,CL-AD-8549356,,2018 Kia OPTIMA AT,10490000,50000,https://www.chileautos.cl/vehiculos/detalles/2018-kia-optima-at/CL-AD-8549356
CL-SELLER-769,CL-AD-8544333,,2016 Kia RIO 4 EX,5380000,63946,https://www.chileautos.cl/vehiculos/detalles/2016-kia-rio-4-ex/CL-AD-8544333
CL-SELLER-769,CL-AD-8514619,,2018 Kia RIO 4 MT,6380000,45000,https://www.chileautos.cl/vehiculos/detalles/2018-kia-rio-4-mt/CL-AD-8514619
CL-SELLER-769,CL-AD-8076015,,2017 Kia SORENTO EX,13780000,49000,https://www.chileautos.cl/vehiculos/detalles/2017-kia-sorento-ex/CL-AD-8076015
CL-SELLER-769,CL-AD-8549341,,2019 Kia SORENTO AT,14490000,20000,https://www.chileautos.cl/vehiculos/detalles/2019-kia-sorento-at/CL-AD-8549341
CL-SELLER-769,CL-AD-8551405,,2019 Kia SORENTO AT,18890000,15000,https://www.chileautos.cl/vehiculos/detalles/2019-kia-sorento-at/CL-AD-8551405
CL-SELLER-769,CL-AD-8549336,,2019 Kia SORENTO AT,14490000,20000,https://www.chileautos.cl/vehiculos/detalles/2019-kia-sorento-at/CL-AD-8549336
CL-SELLER-769,CL-AD-8544621,,2017 Kia SORENTO AT,13780000,81000,https://www.chileautos.cl/vehiculos/detalles/2017-kia-sorento-at/CL-AD-8544621
