id,nombre,num_avisos,direccion,telefono,url
CL-SELLER-615,CDC autos,0,Av. Francisco Bilbao 6808,981790782,https://www.chileautos.cl/cdcautos3434
CL-SELLER-769,Indumotora One - Santa Rosa,37,Santa Rosa 455 esq. Sta. Isabel. Metro Santa Lucia,2-32550900,https://www.chileautos.cl/nexousados
CL-SELLER-681,Automotriz Los Andes,0,Av. Las Condes 7909,523850609,https://www.chileautos.cl/automotrizlosandes
CL-SELLER-1236,Jasa Vehiculos,0,Panamericana Norte 1702,65-2632227,https://www.chileautos.cl/jasavehiculos
CL-SELLER-1207,Copelec Automotriz,25,LONGITUDIONAL SUR 0418,974988590,https://www.chileautos.cl/comercialcopelec
CL-SELLER-1182,Automotora Coyanco,0,Bilbao 2447,2-22040134,https://www.chileautos.cl/qualityww
CL-SELLER-1788,Seminuevos Gildemeister Viña del Mar,8,8 Norte 1057,982896130,https://www.chileautos.cl/gildemeistervinadelmar
CL-SELLER-1794,Seminuevos Gildemeister Antofagasta,0,Irarrazabal 315,55-2562356,https://www.chileautos.cl/gildemeisterantofagasta
CL-SELLER-1488,Bihermanos Automotora - Rancagua,0,FREIRE 520 ESQUINA OCARROL,72-2755668,https://www.chileautos.cl/bihermanos
CL-SELLER-2596,Autos Brickell,0,Ciencias 8794,962743488,https://www.chileautos.cl/autosbrickell
CL-SELLER-2428,Automotriz SubTerra,20,Av. Los Domínicos 8630,2-26047141,https://www.chileautos.cl/automotrizsubterra
CL-SELLER-2157,Inalco Usados Gran Avenida,16,"Gran Avenida 8181, paradero 22 de Gran Avenida",961226411,https://www.chileautos.cl/inalcogranavenida
CL-SELLER-2222,Ditalcar Vicuña Mackenna,12,Av. Vicuña Mackenna Oriente 8280,2-24808228,https://www.chileautos.cl/ditalcar2
CL-SELLER-3151,Remates Reyco S.A,7,Las Esteras Norte 2241,992360642,https://www.chileautos.cl/rematesreyco
CL-SELLER-2199,Mahindra Coz,26,Centro Comercial Santa Cecilia- Cruce Chicureo- ca,963526867,https://www.chileautos.cl/automotoracozstrange
CL-SELLER-2166,Seminuevos Gildemeister La Serena,1,Balmaceda 2581 - 2595,51-2339321,https://www.chileautos.cl/gildemeisterlaserena
CL-SELLER-3219,Maranello Ltda,4,Pedro de Valdivia 858,+56226568857,https://www.chileautos.cl/maranelloltda
CL-SELLER-1528,Bus Service Ltda.,6,"Mendoza 2109, (esquina Hoevel) Quinta Normal",+56226568934,https://www.chileautos.cl/busservice
CL-SELLER-3295,Mendez Gestion Automotriz,6,Pasaje la concepcion #4 poblacion Sangra,+56226568968,https://www.chileautos.cl/mendezgestionautomotriz
CL-SELLER-3258,MACO TATTERSALL,13,"ISIDORA GOYENECHEA 3600, PISO 5",+56226568949,https://www.chileautos.cl/macotattersall
CL-SELLER-3245,Totoral,3,Nueva Central 4336 Conchali,+56226567555,https://www.chileautos.cl/totoral
CL-SELLER-2815,Forcenter Los Dominicos,6,Avenida Camilo Enriquez 5615,2-27403382,https://www.chileautos.cl/forcenter10
CL-SELLER-1715,Autosorno Nissan,0,M.A. MATTA 874,64-2242019,https://www.chileautos.cl/autosorno
CL-SELLER-3292,Salazar Israel - San Felipe,0,"Chacabuco 109, San Felipe.",+56226568965,https://www.chileautos.cl/salazarisrael21demayo
CL-SELLER-2697,Salazar Israel Temuco Alemania,28,Dinamarca 501,958847542,https://www.chileautos.cl/salazarisraeltemuco2
CL-SELLER-1857,Salazar Israel - Valdivia,37,Av. Picarte 2240,977254115,https://www.chileautos.cl/salazarisraelvaldivia
CL-SELLER-2793,Costacar,10,Merced 56,978061542,https://www.chileautos.cl/costacar
CL-SELLER-2727,Automotora Caldo y Velasco SPA,19,AV. IV CENTENARIO 596,2-24758830,https://www.chileautos.cl/caldoyvelascospa
CL-SELLER-1110,Larrain y Valdes,10,Av. Francisco Bilbao 5997,2-22002004,https://www.chileautos.cl/larrainyvaldes
CL-SELLER-2580,GMD Automoviles,5,Camino Lonquen 9011,975972971,https://www.chileautos.cl/gmdautomoviles
CL-SELLER-2284,Automotora Guillermo Morales - Puerto Montt,47,Caletera Panamericana 554,600-9795000,https://www.chileautos.cl/guillermomoralespuertomontt
CL-SELLER-964,Automotora Guillermo Morales - División Mitsubishi,118,Av. Américo Vespucio Norte 1001,2-28999070,https://www.chileautos.cl/guillermomoralesmitsubishi
CL-SELLER-1324,Automotriz Tecnosur,46,Picarte 1443,63-2278497,https://www.chileautos.cl/tecnosur
CL-SELLER-853,Automotora Guillermo Morales - División Ssangyong,31,Av. Francisco Bilbao 2589,600-9795000,https://www.chileautos.cl/guillermomoralesbilbaods
CL-SELLER-2329,Benjamín Florez,9,Av. Ossa 953,2-22774208,https://www.chileautos.cl/benjaminflorez
CL-SELLER-2516,Automotriz Olea Flaño S.A,19,"ISABEL LA CATOLICA 4050, LAS CONDES",986288816,https://www.chileautos.cl/automotrizolea
CL-SELLER-2531,Automotora Monza,54,Américo Vespucio 2174,+56226568845,https://www.chileautos.cl/tanner
CL-SELLER-1576,Automotora Geo Car,12,Diego de Almagro 5403 (Metro Príncipe de Gales),998697125,https://www.chileautos.cl/automotorageocar
CL-SELLER-1394,Seminuevos Gildemeister Concepción,0,AUTOPISTA TALCAHUANO 3310-A CONCEPCIÓN,969198923,https://www.chileautos.cl/carmeisterplazaeltrebol
CL-SELLER-725,Autos Usados Bruno Fritsch - Black Label,32,Av. Las Condes 11800,979287460,https://www.chileautos.cl/brunofritschlascondes
